Client,Total_Billed_2026,Months_Billed,Avg_Monthly_Billing,HD_Tickets,HD_Hours,ITMS_Tickets,ITMS_Hours,Bunzl_Tickets,Bunzl_Hours,Total_Tickets,Total_Hours
Tillman - Bunzl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,11.0,16.0
Designated Broker Solutions,9140.65,6.0,1523.4416666666666,11.0,18.5,0.0,0.0,0.0,0.0,11.0,18.5
Chadmar,7669.4800000000005,6.0,1278.2466666666667,11.0,5.5,0.0,0.0,0.0,0.0,11.0,5.5
"Selvin Property Management, Inc.",3510.0,6.0,585.0,10.0,18.5,0.0,0.0,0.0,0.0,10.0,18.5
Donnelly & Moore Inc,4970.09,6.0,828.3483333333334,9.0,17.5,1.0,0.5,0.0,0.0,10.0,18.0
Teen Arts NJ (Arts and Education Center),0.0,6.0,0.0,9.0,35.0,0.0,0.0,0.0,0.0,9.0,35.0
Drapery Affair,5652.780000000001,6.0,942.1300000000001,5.0,8.0,3.0,2.0,0.0,0.0,8.0,10.0
BLN Property Management,869.26,6.0,144.87666666666667,8.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0
Amelia Newcomb Dressage,6201.61,6.0,1033.6016666666667,6.0,4.5,1.0,0.0,0.0,0.0,7.0,4.5
Drive Wheel,3613.3,6.0,602.2166666666667,7.0,13.5,0.0,0.0,0.0,0.0,7.0,13.5
Calpine Containers,10178.54,3.0,3392.846666666667,2.0,4.0,3.0,2.0,1.0,2.0,6.0,8.0
FS Unlimited LLC,4023.61,6.0,670.6016666666667,6.0,6.5,0.0,0.0,0.0,0.0,6.0,6.5
The Pacific Center for Financial Services,11362.8,6.0,1893.8,4.0,7.0,2.0,2.0,0.0,0.0,6.0,9.0
Advanced Chiropractic - POC,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,6.0
Intergro - Bunzl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.0
Total Barricade Service,7601.28,6.0,1266.8799999999999,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
Monzon Dental,2282.75,6.0,380.4583333333333,5.0,7.5,0.0,0.0,0.0,0.0,5.0,7.5
Ditec Manufacturing,1227.08,3.0,409.02666666666664,4.0,0.5,1.0,5.0,0.0,0.0,5.0,5.5
Cloudburst Misting Systems,4368.48,6.0,728.0799999999999,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0
Ransom Seed Laboratory,5079.83,6.0,846.6383333333333,3.0,6.0,1.0,0.0,0.0,0.0,4.0,6.0
Blue Ocean Barns,22437.29,6.0,3739.5483333333336,4.0,10.0,0.0,0.0,0.0,0.0,4.0,10.0
Stuart Rose Heating and Air Conditioning,3160.52,6.0,526.7533333333333,4.0,9.5,0.0,0.0,0.0,0.0,4.0,9.5
Spectrum Medical X-Ray Company,4085.5,6.0,680.9166666666666,3.0,5.5,1.0,3.0,0.0,0.0,4.0,8.5
A Change in Trajectory (ACT),7389.959999999999,4.0,1847.4899999999998,1.0,0.5,2.0,0.0,0.0,0.0,3.0,0.5
Santa Barbara Soccer Club,523.75,3.0,174.58333333333334,3.0,3.5,0.0,0.0,0.0,0.0,3.0,3.5
Studio Designs,22020.0,6.0,3670.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0
Three Angels Pre-School,1885.52,6.0,314.25333333333333,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0
Notes for Notes,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0
Organic Certifiers,4036.5,6.0,672.75,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0
Local Roofs,14776.93,5.0,2955.386,2.0,2.5,0.0,0.0,0.0,0.0,2.0,2.5
Alameda Structural Inc,3505.8,6.0,584.3000000000001,2.0,1.5,0.0,0.0,0.0,0.0,2.0,1.5
SecuriTech,1516.86,6.0,252.80999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
The Bridge Center For Hope,181.0,5.0,36.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
PulseOne Communications,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5
Fire Sprinkler Systems,20708.260000000002,6.0,3451.376666666667,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
"AvePoint, Inc",0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5
Autostream Finance LLC,840.8,5.0,168.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beachmont Behavioral Health,543.0,5.0,108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astra Prime Wealth Management,313.95,5.0,62.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alliance Wealth Management, LLC",115.4,5.0,23.080000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABC Assembly, Inc",592.0,5.0,118.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainer & Fraker LLP,437.6,5.0,87.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alfa Intelligent Technology Group, Inc",2391.0,5.0,478.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascend Planning Solutions,291.1,5.0,58.220000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arc Research Institute,257256.15,3.0,85752.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avisi Technologies,319.2,5.0,63.839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunzl De Mexico,10800.0,1.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boeck Chiropractic,30.5,5.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boardwalk Ventures,235.4,5.0,47.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benefits Planners Inc,295.7,5.0,59.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BartonWood,353.70000000000005,5.0,70.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lone Star Revenue Cycle Management LLC,291.05,5.0,58.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grand Majestic F/X Inc,412.5,5.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glennon Trade LLC,243.0,5.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
